z_index,relative_to_top_px,relative_to_bottom_px,V_sv_raw,B_sv_raw,T_raw,T_mov5,region
1,-200,-219,9121357.2046654,5505001.35920025,3616355.84546515,3616355.84546515,above_vessel
2,-199,-218,2137148.64208342,7046737.97685827,-4909589.33477485,4817885.38308011,above_vessel
3,-198,-217,9499087.99710372,3479673.07640865,6019414.92069506,3616355.84546515,above_vessel
4,-197,-216,15440935.6352409,6367348.98829011,9073586.64695076,3600425.32390498,above_vessel
5,-196,-215,6576791.05860767,2976365.73470269,3600425.32390498,3600425.32390498,above_vessel
6,-195,-214,944490.456458856,8715772.66791437,-7771282.21145551,3600425.32390498,above_vessel
7,-194,-213,6031277.47401416,7124345.27829909,-1093067.80428493,-1093067.80428493,above_vessel
8,-193,-212,9797805.52890866,2881591.30195733,6916214.22695133,-1093067.80428493,above_vessel
9,-192,-211,2831240.0146232,4349127.17382394,-1517887.15920074,-1093067.80428493,above_vessel
10,-191,-210,5735619.48250606,2567607.42080216,3168012.0617039,3168012.0617039,above_vessel
11,-190,-209,320596.064387174,2273719.46046596,-1953123.39607879,3168012.0617039,above_vessel
12,-189,-208,13937925.5100029,3805229.78058047,10132695.7294225,3168012.0617039,above_vessel
13,-188,-207,8065213.67202487,1970931.45934082,6094282.21268405,-82729.7843358801,above_vessel
14,-187,-206,694998.553907204,4382684.75965729,-3687686.20575009,6094282.21268405,above_vessel
15,-186,-205,2344879.89164481,2427609.67598069,-82729.7843358801,6094282.21268405,above_vessel
16,-185,-204,23245715.5362388,1858710.54505677,21387004.9911821,14514045.5663424,above_vessel
17,-184,-203,21708701.6285417,3775363.65923662,17933337.9693051,14514045.5663424,above_vessel
18,-183,-202,16759379.4201869,2245333.85384445,14514045.5663424,14514045.5663424,above_vessel
19,-182,-201,9029860.4481604,1448676.2555135,7581184.19264689,7581184.19264689,above_vessel
20,-181,-200,5740030.31982589,2029079.74052318,3710950.57930271,3710950.57930271,above_vessel
21,-180,-199,441314.617187556,2345416.20469792,-1904101.58751036,3710950.57930271,above_vessel
22,-179,-198,4720477.01510201,7365610.90700345,-2645133.89190144,-994621.632965613,above_vessel
23,-178,-197,12085579.5168196,2221549.08318146,9864030.43363811,-1904101.58751036,above_vessel
24,-177,-196,1051105.75412291,2045727.38708852,-994621.632965613,-2645133.89190144,above_vessel
25,-176,-195,2519350.48133376,6148916.14441165,-3629565.66307789,-994621.632965613,above_vessel
26,-175,-194,1246527.20190416,4767824.30171329,-3521297.09980913,-994621.632965613,above_vessel
27,-174,-193,4575677.20054766,3451705.95420706,1123971.2463406,-283230.389357217,above_vessel
28,-173,-192,5048351.11154735,1836482.35600407,3211868.75554328,-283230.389357217,above_vessel
29,-172,-191,3001348.81902646,3284579.20838368,-283230.389357217,-283230.389357217,above_vessel
30,-171,-190,387135.264961667,2984179.67133358,-2597044.40637191,-283230.389357217,above_vessel
31,-170,-189,376520.392285414,3554528.51455631,-3178008.1222709,-1223279.32601648,above_vessel
32,-169,-188,5303408.93410172,2708872.56407439,2594536.37002733,-1223279.32601648,above_vessel
33,-168,-187,5496550.17989292,6719829.50590941,-1223279.32601648,-944542.424544858,above_vessel
34,-167,-186,11394059.764211,4274833.0893056,7119226.67490535,-944542.424544858,above_vessel
35,-166,-185,2953166.6340277,3897709.05857256,-944542.424544858,-1223279.32601648,above_vessel
36,-165,-184,1371315.23450136,3011669.26608628,-1640354.03158492,-1603696.6723722,above_vessel
37,-164,-183,1299548.73839215,3961960.32845915,-2662411.590067,-1640354.03158492,above_vessel
38,-163,-182,2162245.41986695,3765942.09223915,-1603696.6723722,-1640354.03158492,above_vessel
39,-162,-181,805502.682569291,2942989.70161954,-2137487.01905025,-1603696.6723722,above_vessel
40,-161,-180,3982450.20858042,4519542.49201563,-537092.283435212,-1603696.6723722,above_vessel
41,-160,-179,6435747.00842644,4175476.60463771,2260270.40378874,-537092.283435212,above_vessel
42,-159,-178,202133.669280085,5026797.51999776,-4824663.85071768,298239.215716005,above_vessel
43,-158,-177,3737292.07295122,3439052.85723521,298239.215716005,2260270.40378874,above_vessel
44,-157,-176,7294517.42427672,3109319.91068931,4185197.51358741,505917.041743559,above_vessel
45,-156,-175,6230614.30349708,1538767.03022996,4691847.27326712,505917.041743559,above_vessel
46,-155,-174,4305727.39648498,3799810.35474142,505917.041743559,505917.041743559,above_vessel
47,-154,-173,884662.64430169,3653167.98960176,-2768505.34530007,-988477.592869176,above_vessel
