z_index,relative_to_top_px,relative_to_bottom_px,V_sv_raw,B_sv_raw,T_raw,T_mov5,region
1,-195,-214,17663716.3439031,20715669.164559,-3051952.82065586,-8119150.76548814,above_vessel
2,-194,-213,1893268.6621815,13504651.9711781,-11611383.3089967,-9865267.0372424,above_vessel
3,-193,-212,5165183.50688432,13284334.2723725,-8119150.76548814,-8119150.76548814,above_vessel
4,-192,-211,206579.381221522,15984159.4787574,-15777580.0975358,-8119150.76548814,above_vessel
5,-191,-210,6524649.68797362,11019965.0183085,-4495315.33033484,-4495315.33033484,above_vessel
6,-190,-209,11325710.8540783,11489441.8404765,-163730.986398213,-163730.986398213,above_vessel
7,-189,-208,23860740.9027632,12985388.1049514,10875352.7978118,-163730.986398213,above_vessel
8,-188,-207,6274870.70956958,4515963.58419053,1758907.12537905,-163730.986398213,above_vessel
9,-187,-206,1557578.0831318,6322501.02849875,-4764922.94536694,1758907.12537905,above_vessel
10,-186,-205,5765249.25491292,14154734.2319044,-8389484.97699151,-359675.553055991,above_vessel
11,-185,-204,7484421.64457003,3628931.53348645,3855490.11108358,-4764922.94536694,above_vessel
12,-184,-203,5832847.9828971,6192523.53595309,-359675.553055991,-359675.553055991,above_vessel
13,-183,-202,309122.662888275,6798504.58261953,-6489381.91973126,-359675.553055991,above_vessel
14,-182,-201,11659053.6258953,8350798.58372907,3308255.04216621,-4356190.45069926,above_vessel
15,-181,-200,2603801.06156426,10195664.0467104,-7591862.98514612,-4356190.45069926,above_vessel
16,-180,-199,363374.902955579,4719565.35365484,-4356190.45069926,3164034.01465895,above_vessel
17,-179,-198,5024165.63532051,1450737.02025742,3573428.61506309,-4356190.45069926,above_vessel
18,-178,-197,7518874.15639336,4354840.14173441,3164034.01465895,232440.232881852,above_vessel
19,-177,-196,2366429.26811348,7417840.10940359,-5051410.84129011,232440.232881852,above_vessel
20,-176,-195,2462890.26248173,2230450.02959988,232440.232881852,232440.232881852,above_vessel
21,-175,-194,1003737.52895468,4527465.21422311,-3523727.68526843,-116788.36932721,above_vessel
22,-174,-193,15036932.2211915,7274548.97818565,7762383.24300582,232440.232881852,above_vessel
23,-173,-192,3926785.31162818,4043573.68095539,-116788.36932721,2500847.52819374,above_vessel
24,-172,-191,8293708.90938291,5792861.38118917,2500847.52819374,2500847.52819374,above_vessel
25,-171,-190,7062456.09747229,3009354.85355324,4053101.24391905,-116788.36932721,above_vessel
26,-170,-189,6399740.1371192,12329642.7573324,-5929902.62021321,-2273044.01836501,above_vessel
27,-169,-188,1756436.3790299,4947823.44856506,-3191387.06953517,-3191387.06953517,above_vessel
28,-168,-187,6625420.4638444,8898464.48220941,-2273044.01836501,-3191387.06953517,above_vessel
29,-167,-186,1482097.87295255,8132722.50318337,-6650624.63023082,-2358611.92110157,above_vessel
30,-166,-185,3203707.20259487,4960038.98981216,-1756331.7872173,-2273044.01836501,above_vessel
31,-165,-184,2800088.210478,5158700.13157957,-2358611.92110157,-1756331.7872173,above_vessel
32,-164,-183,5436115.46393754,5522447.40900051,-86331.9450629679,-86331.9450629679,above_vessel
33,-163,-182,13083303.3941503,7154713.06232999,5928590.33182032,-86331.9450629679,above_vessel
34,-162,-181,11854106.0104698,6043571.43774785,5810534.57272198,-86331.9450629679,above_vessel
35,-161,-180,3018002.79401943,4112413.56408079,-1094410.77006136,-1094410.77006136,above_vessel
36,-160,-179,3225526.44704454,4340795.78114952,-1115269.33410498,-1094410.77006136,above_vessel
37,-159,-178,1558912.82572756,2894091.59656905,-1335178.7708415,-1094410.77006136,above_vessel
38,-158,-177,8651540.89978939,3348166.51237233,5303374.38741707,-830973.098930917,above_vessel
39,-157,-176,9740469.37209427,2837199.07739927,6903270.294695,4922847.04013545,above_vessel
40,-156,-175,4404939.63627041,5235912.73520133,-830973.098930917,4922847.04013545,above_vessel
41,-155,-174,9160329.28412713,4237482.24399168,4922847.04013545,-609229.47618352,above_vessel
42,-154,-173,3101567.67198675,3710797.14817027,-609229.47618352,-609229.47618352,above_vessel
43,-153,-172,1386916.46397751,5879357.57675919,-4492441.11278168,-609229.47618352,above_vessel
44,-152,-171,15936139.5997972,4999683.61568264,10936455.9841146,-3821309.28633771,above_vessel
