scan_id,frame_index,file_name,size_bytes,sha256,shape,finite_fraction,min,max,source_identity,bscan_identity,formal_signal_definition,variance_denominator,validation_status
D500_F01_V01,0,frame_000.mat,5326914,d753668e0ebe1175f900fc5435e548177ff63d5ff0dd3a60bff7a12531ae55f2,"[351, 500]",1.0,43.81477015419632,606740816765.2596,True,True,"var(abs(E), 1, 3)",N,passed
D500_F01_V01,1,frame_001.mat,5326985,17d7ea6a1db096a1e0e37734c4baf9d54a9f5ad091eec2c909eaef11cd6b7ee2,"[351, 500]",1.0,16.03336176709553,7895308950.60635,True,True,"var(abs(E), 1, 3)",N,passed
D500_F01_V01,2,frame_002.mat,5326863,de697dd833a8a539865b2ef252d2e6d99fabaaea5ad52fea80ca8e6750d78901,"[351, 500]",1.0,71.65119108416262,7651542729.722946,True,True,"var(abs(E), 1, 3)",N,passed
D500_F01_V01,3,frame_003.mat,5326888,7f707ef97f76adf5fc8d6fb083da7546be28de1b65bb44641f5c73f36fe8e022,"[351, 500]",1.0,8.12512362287807,6399430080.8562355,True,True,"var(abs(E), 1, 3)",N,passed
D500_F01_V01,4,frame_004.mat,5326948,17e03ad04d8c2aa392a7d4278f6214c8e53ce507ae1951a9f27a38ab9a7c9221,"[351, 500]",1.0,80.39140186968476,5183906828.2818165,True,True,"var(abs(E), 1, 3)",N,passed
D500_F01_V01,5,frame_005.mat,5326766,fe3561feb0952d552d84bdd88ed28e7f858669cb3c79efd80aad7a25e4b83ad2,"[351, 500]",1.0,14.20179306854194,9265348379.657682,True,True,"var(abs(E), 1, 3)",N,passed
D500_F01_V01,6,frame_006.mat,5326933,eb8de7457a6c03633f44629095cdc8e5cdb37608e01b348d05d444ccdab85b24,"[351, 500]",1.0,22.497748126514153,14375532940.540855,True,True,"var(abs(E), 1, 3)",N,passed
D500_F01_V01,7,frame_007.mat,5327194,f8ec2b194e22b6888d1c5bdaaec9b04a726d079e026c4dd6e582356e5456d841,"[351, 500]",1.0,13.169071918045821,8965284141.22901,True,True,"var(abs(E), 1, 3)",N,passed
D500_F01_V01,8,frame_008.mat,5327190,44622f9aeaef2df129e106365e2f1e3bbc18e303f7f7c30a31afe74ef0283538,"[351, 500]",1.0,66.66992948011351,7500023845.638298,True,True,"var(abs(E), 1, 3)",N,passed
D500_F01_V01,9,frame_009.mat,5326780,e08a2a8f7d5ac98266ee63f69e800cc3dd0902f776d3f3272c048ae7f2c001a3,"[351, 500]",1.0,5.51835127317807,4236586660.936739,True,True,"var(abs(E), 1, 3)",N,passed
D500_F01_V01,10,frame_010.mat,5326888,51501a1a00442472fab493cdc65059be25db3f2d99febec570baed3be04315d5,"[351, 500]",1.0,2.449340771089355,5911864182.999065,True,True,"var(abs(E), 1, 3)",N,passed
D500_F01_V01,11,frame_011.mat,5326891,8d77f08c333f75806067909b869a041927543278a8f4f8d700d2f7f164c7d8b6,"[351, 500]",1.0,144.32046828918527,6301153748.0172615,True,True,"var(abs(E), 1, 3)",N,passed
D500_F01_V01,12,frame_012.mat,5326822,26ff2ea41edcad2f4fba919dbcc74c8fc99749a3f8cdcabcbb1d0ca518ffc577,"[351, 500]",1.0,33.62256694427141,12497951544.590738,True,True,"var(abs(E), 1, 3)",N,passed
D500_F01_V01,13,frame_013.mat,5327012,8334274f2e9aa4c60b6450ff565ee5af9ac0d51df3ae379d7f346074ec99a3b1,"[351, 500]",1.0,103.32603681756378,8301160026.691541,True,True,"var(abs(E), 1, 3)",N,passed
D500_F01_V01,14,frame_014.mat,5326997,be1a74ae41bcb3e3fafb9b131d731672eb50dbb790e130fe97ed9f3e3edcc64f,"[351, 500]",1.0,35.06999065823988,9632059572.940023,True,True,"var(abs(E), 1, 3)",N,passed
D500_F01_V01,15,frame_015.mat,5327127,1a180193c7572d417dc654ad589393980a6f0c78722bb26e599f8bed715b6921,"[351, 500]",1.0,27.28257070762029,5349294025.192955,True,True,"var(abs(E), 1, 3)",N,passed
D500_F01_V01,16,frame_016.mat,5327023,05af90c0e99fe054969a68c21a549e426cf028ceffaba57aafc7cc2c621d399e,"[351, 500]",1.0,123.73707542521053,3156900647.520497,True,True,"var(abs(E), 1, 3)",N,passed
D500_F01_V01,17,frame_017.mat,5326779,d61ecb3c3933233ad17b4387211b927e4683e1ab579ad1bcf1f3a613ef26c44b,"[351, 500]",1.0,447.23729560325165,4819272665.545888,True,True,"var(abs(E), 1, 3)",N,passed
D500_F01_V01,18,frame_018.mat,5326842,614aed7d5b22f941357719fa14dfc9b69a70820bfed91d6c94d754b223bd68e1,"[351, 500]",1.0,12.636131720553806,13292327235.691473,True,True,"var(abs(E), 1, 3)",N,passed
