z_index,relative_to_top_px,relative_to_bottom_px,V_sv_raw,B_sv_raw,T_raw,T_mov5,region
1,-219,-323,44700974.6065129,4765403.15637108,39935571.4501418,-1502976.7000422,above_vessel
2,-218,-322,2663236.55698343,4166213.25702564,-1502976.7000422,-2548476.35704549,above_vessel
3,-217,-321,3120976.68096115,8372466.98795291,-5251490.30699177,-1502976.7000422,above_vessel
4,-216,-320,336260.908946699,3930236.92299548,-3593976.01404878,-3593976.01404878,above_vessel
5,-215,-319,4788972.70653263,5505281.78857359,-716309.082040955,-4849851.29532384,above_vessel
6,-214,-318,1794994.35861525,6644845.65393909,-4849851.29532384,-3593976.01404878,above_vessel
7,-213,-317,468377.435439091,5878254.38576247,-5409876.95032337,-2349868.09704894,above_vessel
8,-212,-316,14863746.2468242,2445494.25774773,12418251.9890764,-2349868.09704894,above_vessel
9,-211,-315,635061.162863849,2984929.25991279,-2349868.09704894,-2349868.09704894,above_vessel
10,-210,-314,9358900.49543181,5706042.58462564,3652857.91080618,3652857.91080618,above_vessel
11,-209,-313,1411299.56255137,3911255.37910047,-2499955.8165491,3652857.91080618,above_vessel
12,-208,-312,17137220.7043038,2889238.41537204,14247982.2889318,9767169.03351171,above_vessel
13,-207,-311,39632022.2893958,2464740.9737063,37167281.3156895,9767169.03351171,above_vessel
14,-206,-310,13694907.5888426,3927738.55533085,9767169.03351171,9767169.03351171,above_vessel
15,-205,-309,6377528.07541824,8163270.84945085,-1785742.77403261,4027450.29920838,above_vessel
16,-204,-308,10342097.8965357,6314647.59732731,4027450.29920838,-1785742.77403261,above_vessel
17,-203,-307,724826.01384097,20758286.9624459,-20033460.9486049,-1785742.77403261,above_vessel
18,-202,-306,1968513.40348925,15988730.6202684,-14020217.2167791,-2410680.50602371,above_vessel
19,-201,-305,5009371.27394969,3942241.22117258,1067130.0527771,-2410680.50602371,above_vessel
20,-200,-304,3066084.53271838,5476765.03874209,-2410680.50602371,-1617486.16520213,above_vessel
21,-199,-303,4677266.10494612,3040957.51463019,1636308.59031593,-187894.632289663,above_vessel
22,-198,-302,1750790.65370369,3368276.81890582,-1617486.16520213,-1617486.16520213,above_vessel
23,-197,-301,2269282.77783341,2457177.41012307,-187894.632289663,-1013132.31022049,above_vessel
24,-196,-300,877791.527726385,3979026.50533992,-3101234.97761353,-1617486.16520213,above_vessel
25,-195,-299,3108437.97193025,4121570.28215075,-1013132.31022049,-1013132.31022049,above_vessel
26,-194,-298,3375225.89052942,5008293.02809855,-1633067.13756913,-1013132.31022049,above_vessel
27,-193,-297,5185050.16694543,5642169.55738493,-457119.3904395,-457119.3904395,above_vessel
28,-192,-296,2556595.15391569,1650102.94582547,906492.20809022,-457119.3904395,above_vessel
29,-191,-295,7271840.84232029,2316574.55313355,4955266.28918674,906492.20809022,above_vessel
30,-190,-294,1060390.88424744,5073196.11195455,-4012805.22770711,906492.20809022,above_vessel
31,-189,-293,8805208.92307483,2890049.18720003,5915159.7358748,-1967292.08095461,above_vessel
32,-188,-292,236747.154691307,4133917.41674167,-3897170.26205036,-1967292.08095461,above_vessel
33,-187,-291,3362191.22523052,5329483.30618513,-1967292.08095461,-872414.84838598,above_vessel
34,-186,-290,7726025.25789296,4241402.50396166,3484622.7539313,-872414.84838598,above_vessel
35,-185,-289,815247.782387705,1687662.63077368,-872414.84838598,145089.158216597,above_vessel
36,-184,-288,2158759.6529022,2013670.4946856,145089.158216597,145089.158216597,above_vessel
37,-183,-287,8288371.3243689,2005465.9915095,6282905.3328594,145089.158216597,above_vessel
38,-182,-286,1789865.51991744,2017774.94553562,-227909.425618183,145089.158216597,above_vessel
39,-181,-285,12503038.8938643,5708928.36033802,6794110.53352626,-227909.425618183,above_vessel
